Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Cerise,cerise,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1e9f4a8cb55214b2794,false,false,Tue May 18 2021 13:32:25 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:25 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Chocolat,chocolat,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1fa664237b41c43d2c3,false,false,Tue May 18 2021 13:32:42 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:42 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Chêne,chene,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2f22bf2f6ea15bb514e,false,false,Tue May 18 2021 13:36:50 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:50 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Citron,citron,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1afaa3e975e0988883b,false,false,Tue May 18 2021 13:31:27 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:31:27 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Citron Vert,citron-vert,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1e54b9bf670e9d2cdd6,false,false,Tue May 18 2021 13:32:21 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:21 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Citronnelle,citronnelle,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1e0bea0f77a56ba479a,false,false,Tue May 18 2021 13:32:16 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:16 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Clémentine,clementine,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3bee12db43220e7dcfa1a,false,false,Tue May 18 2021 13:19:29 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:00 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Cognac,cognac,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c200f4a8cb7f934b3ece,false,false,Tue May 18 2021 13:32:48 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:48 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Cèdre,cedre,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1f907423c0c2a33a059,false,false,Tue May 18 2021 13:32:41 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:41 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Délicat,delicat,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2eb207dc65f7bdca408,false,false,Tue May 18 2021 13:36:43 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:43 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Encens,encens,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2f8e91a51105649e48c,false,false,Tue May 18 2021 13:36:56 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:56 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Epicé,epice,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1e1bb21901d2df7a603,false,false,Tue May 18 2021 13:32:17 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:17 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Estragon,estragon,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1f72bf2f62813bae03e,false,false,Tue May 18 2021 13:32:39 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:39 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Eucalyptus,eucalyptus,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2f36512fc61deec5fcd,false,false,Tue May 18 2021 13:36:51 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:51 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Figue,figue,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2f3aed51e41c6f8e515,false,false,Tue May 18 2021 13:36:51 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:51 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Fleur de Sureau,fleur-de-sureau,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2e7b6fcc63d1700aedf,false,false,Tue May 18 2021 13:36:39 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:39 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Floral,floral,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1e24196ac6006e9f6e2,false,false,Tue May 18 2021 13:32:18 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:18 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Foin,foin,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c204b6fcc6eac6004a7d,false,false,Tue May 18 2021 13:32:52 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:52 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Fraicheur,fraicheur,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1e6e1ecdd4e7408db4f,false,false,Tue May 18 2021 13:32:22 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:22 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Fraise,fraise,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1e9a316dcb52ae5789f,false,false,Tue May 18 2021 13:32:25 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:25 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Framboise,framboise,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1f01db4a7312059e9a2,false,false,Tue May 18 2021 13:32:32 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:32 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Fruit de la Passion,fruit-de-la-passion,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1e4eaed2f1ea9ed467c,false,false,Tue May 18 2021 13:32:20 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:20 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Fruit à Noyau,fruit-a-noyau,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1df91cfca7e814c4251,false,false,Tue May 18 2021 13:32:15 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:15 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Fruits Noirs,fruits-noirs,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c200e1ecdd381b08e3ff,false,false,Tue May 18 2021 13:32:48 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:48 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Fruits blancs,fruits-blancs,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1fe4b9bf62d31d2ec41,false,false,Tue May 18 2021 13:32:46 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:46 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Fruits rouges,fruits-rouges,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1e91db4a7074c59e549,false,false,Tue May 18 2021 13:32:25 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:25 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Fruits tropicaux,fruits-tropicaux,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1e51fc1a2fe11cabda1,false,false,Tue May 18 2021 13:32:21 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:21 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Fruité,fruite,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1ee6208b43acb63bd31,false,false,Tue May 18 2021 13:32:30 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:30 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Gingembre,gingembre,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1f4ae49352e5a3c1cb0,false,false,Tue May 18 2021 13:32:36 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:36 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Goyave,goyave,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2ec4b3193628a38eb90,false,false,Tue May 18 2021 13:36:44 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:44 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Groseille,groseille,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1e0f3caef0734cb4d50,false,false,Tue May 18 2021 13:32:16 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:16 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Géranium,geranium,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1fd187e2934a9e094a0,false,false,Tue May 18 2021 13:32:45 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:45 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Herbeux,herbeux,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3beefd0f26b1acf175915,false,false,Tue May 18 2021 13:19:43 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:19:43 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
